Address,Value,Soft Miss,Hard Miss, Hit, Evicted Page, Dirty Bit
6AC3,45,1,1,0,0,0
F3F4,30,1,1,0,16,1
5D8B,123,1,1,0,17,1
6119,139,1,1,0,23,0
91FF,169,1,1,0,26,0
BC43,251,1,1,0,37,0
C626,137,1,1,0,41,0
C469,242,1,1,0,46,0
5A96,88,1,1,0,55,0
9ADB,7,1,1,0,71,0
1164,144,1,1,0,85,1
35FE,51,1,1,0,93,1
5957,212,1,1,0,97,0
5C9F,189,1,1,0,106,0
77E7,103,1,0,1,0,0
FBE6,211,1,1,0,119,0
8365,66,1,1,0,124,0
FE1D,54,1,1,0,145,0
29D3,8,1,1,0,154,0
184F,24,1,1,0,188,1
20E7,104,1,1,0,189,0
8FAF,139,1,1,0,193,0
50F5,194,1,1,0,196,0
0AC7,158,1,1,0,198,0
90FA,227,1,1,0,243,0
BA9D,212,1,1,0,251,1
88B2,242,1,1,0,254,0
5722,160,1,1,0,10,0
458A,14,1,1,0,17,0
1FD7,95,1,1,0,22,1
B34F,89,1,1,0,24,0
5962,140,1,0,1,0,0
72EF,25,1,1,0,32,0
52A4,80,1,1,0,41,0
A921,68,1,1,0,53,0
8ED9,187,1,1,0,69,0
EFBF,40,1,1,0,80,0
5A12,120,1,0,1,0,0
EA18,118,1,1,0,82,1
3762,91,1,1,0,87,0
02A2,172,1,1,0,89,0
D688,174,1,1,0,92,0
4EF6,41,1,1,0,114,0
EC0E,69,1,1,0,131,0
2E8D,9,1,1,0,136,0
BDC4,88,1,1,0,142,0
1158,0,1,1,0,143,1
0679,215,1,1,0,144,0
3CF8,16,1,1,0,169,0
67D2,208,1,1,0,179,0
1980,92,1,1,0,186,0
85FA,137,1,1,0,214,0
FFCA,76,1,1,0,234,0
A267,93,1,1,0,236,0
130F,137,1,1,0,239,0
8DEA,145,1,1,0,255,1
47EC,113,1,1,0,2,0
6D1D,48,1,1,0,6,0
453D,89,1,1,0,17,0
A010,192,1,1,0,19,0
20D8,194,1,1,0,25,0
6EF6,57,1,1,0,31,1
D1CD,229,1,1,0,46,0
A076,124,1,0,1,0,0
AE59,27,1,1,0,55,0
8C23,25,1,1,0,60,1
258F,100,1,1,0,69,0
0A07,99,1,1,0,71,0
1AC9,33,1,1,0,78,0
90C0,210,1,1,0,90,0
0FBD,168,1,1,0,103,1
8AF8,77,1,1,0,109,0
C462,93,1,1,0,110,0
610B,93,1,1,0,133,1
8467,204,1,1,0,141,1
73AD,160,1,1,0,144,0
265F,137,1,1,0,160,1
6B72,32,1,1,0,162,0
868C,176,1,1,0,174,0
E3AE,129,1,1,0,189,1
0A4C,46,1,0,1,0,0
53A5,201,1,1,0,196,0
C67F,185,1,1,0,209,0
6077,187,1,1,0,15,0
B281,187,1,1,0,26,0
BE1A,234,1,1,0,32,0
D220,141,1,1,0,37,0
00F1,7,1,1,0,38,0
D275,195,1,0,1,0,0
9AF6,46,1,1,0,83,0
33FA,10,1,1,0,96,0
5F1E,151,1,1,0,97,0
6D8A,247,1,1,0,107,0
6287,85,1,1,0,115,1
1923,111,1,1,0,132,0
B942,94,1,1,0,134,0
1188,2,1,1,0,138,1
DC46,173,1,1,0,140,0
A695,203,1,1,0,154,0
F545,128,1,1,0,178,0
6649,238,1,1,0,190,0
5282,108,1,1,0,198,0
8C7A,13,1,1,0,210,0
1812,115,1,1,0,227,0
D0B5,21,1,1,0,0,0
FCA0,29,1,1,0,10,1
7E06,64,1,1,0,17,0
D158,143,1,1,0,24,0
7717,57,1,1,0,25,0
75FD,210,1,1,0,51,0
CF6B,126,1,1,0,82,1
E23A,165,1,1,0,95,0
2B4B,164,1,1,0,98,0
7C49,138,1,1,0,102,1
8C90,201,1,0,1,0,0
9D1D,37,1,1,0,109,0
BD0E,113,1,1,0,117,0
72C3,238,1,1,0,119,0
0BFE,0,1,1,0,124,0
626E,166,1,1,0,126,0
CC80,133,1,1,0,140,0
0679,215,1,1,0,166,1
6366,138,1,1,0,185,0
A1C4,244,1,1,0,207,0
1718,204,1,1,0,208,0
EDC4,96,1,1,0,209,1
5B9D,121,1,1,0,220,0
6247,147,1,0,1,0,0
96C1,192,1,1,0,226,0
EFC4,71,1,1,0,245,1
AD9B,10,1,1,0,252,1
9B38,21,1,1,0,6,0
9906,12,1,1,0,11,0
6671,250,1,1,0,23,0
C3F4,155,1,1,0,43,1
3000,98,1,1,0,91,0
F185,4,1,1,0,98,0
EB76,155,1,1,0,99,0
69D3,91,1,1,0,102,0
